Sum of wat_sm_number_without,Column Labels,,,,,,,,,,,,,,,,,,,,,,
Row Labels,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,(blank),Grand Total
Malaysia,1721639.61,1731411.571,1751892.168,1770829.131,1788963.416,1806894.09,1824733.915,1842200.517,1858605.753,1873144.557,1885152.774,1899499.93,1912451.87,1923877.743,1934561.302,1945261.709,1956063.253,1967269.958,1978632.839,1989876.746,2000795.888,,39363758.74
Malta,-0.013384066,-0.009511776,0.011443264,0.003808151,-0.00362538,-0.013353747,-0.00203165,0.011460698,-0.005732902,0.003827499,0.013339075,0,-0.003796281,-0.011505888,-0.00559247,0,0.005712897,0.013357017,0.003821519,0.005724901,-0.001766156,,0.002194704
Martinique,3022.161395,3045.338288,3064.985361,3080.868596,3093.144084,3101.616891,3061.280902,3017.299722,3085.123254,3147.130974,3202.346206,3249.574873,3289.571652,3326.048263,3364.255577,3408.286097,3460.255548,3519.612978,3584.123069,3540.231501,3537.479003,,68200.73423
Mayotte,,,,,,,37972.50863,39225.42564,40498.76729,42265.97536,43564.67507,39827.66354,35797.75727,31575.31888,27218.67155,22601.06035,17720.60264,13940.9984,15301.11564,16713.95133,17869.48778,,442093.9794
Mexico,60029107.87,60661373.59,61282909.76,61906663.19,62549336.95,63222040.2,63929392.76,64665600.32,65417917.5,66168320.65,66903092.61,67618126.81,68315404.23,68993972.04,69654458.92,70297235.56,70920662.54,71523196.12,72119139.57,72795923.61,73457777.64,,1402431652
Moldova,2504897.404,2415804.921,2329219.993,2243248.482,2155406.405,2060471.453,1958716.191,1854964.802,1750296.096,1645998.255,1542732.556,1440417.391,1338417.969,1236041.855,1132542.492,1119746.425,1106131.157,1091843.581,1076958.457,1061631.409,1045963.52,,34111450.81
Monaco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Mongolia,1903510.305,1906528.043,1910383.713,1915340.488,1921608.537,1929418.888,1938696.914,1949543.31,1962355.919,1977663.841,1995656.52,2021389.493,2052297.029,2084678.128,2117425.607,2149604.832,2180936.182,2211354.232,2240342.879,2267573.688,2292809.698,,42929118.24
Montenegro,,,,,,,99665.72942,99206.70731,98914.36913,98601.34801,98245.35733,97834.31071,97372.60338,96873.5173,96360.20486,95848.53647,95340.20924,94830.36263,94461.92164,94115.18451,93755.82145,,1451426.183
Morocco,13293056.43,13190203.64,13081385.71,12968859.15,12854427.62,12700596.21,12538913.41,12377984.82,12219500.98,12065243.67,11624233.86,11168228.26,10818462.54,10455622.81,10075203.33,9675303.073,9255573.313,8817218.477,8361148.395,7888707.712,7400723.435,,232830596.8
Myanmar,34052116.73,33707708.12,33312368.57,32865504.17,32367574.01,31820376.38,31222579.41,30577680.06,29898011.8,29198567.15,28487728.32,27870882.73,27356291.38,26826566.34,26267429.24,25668463.69,25027687.92,24350759.38,23645993.51,22924108.42,22399917.6,,599848314.9
Nepal,17518753.8,17747629.76,17962836.83,18159573.79,18342691.55,18514851.68,18683567.66,18846484.39,18985460.94,19075812.84,19103729.45,19059678.91,18959455.32,19295960.81,19681918.53,20163520.06,20760895.71,21466114.08,22263424.48,23122047.75,24015822.18,,411730230.5
Netherlands,1228.458585,1394.890857,1562.93647,1732.393317,1903.872296,2076.026094,2247.830736,2420.63619,2594.941413,2769.204877,2944.077964,3120.201411,3296.983957,3473.81091,3651.701135,3830.611213,4008.462928,4187.100775,4366.065273,4545.979693,4725.837397,,62082.02349
New Caledonia,28148.6758,28697.49256,29213.53175,28183.86471,27083.00019,25921.03767,24698.42123,23416.65846,22079.80811,20693.99949,19261.52678,17782.92855,16253.89203,14669.5782,13026.04278,12190.26888,11708.29705,11205.6905,10684.18105,10147.82247,9597.635405,,404664.3537
New Zealand,684568.2081,693251.5911,703054.5971,713498.2437,723848.7816,733593.4496,686967.5563,638492.1756,588481.4283,537281.6288,485052.6553,431767.4468,377290.3519,321510.0655,264338.9451,205777.5891,145896.3804,84791.65025,22543.08452,0.121968082,-0.062689028,,9042005.889
Nicaragua,2643694.902,2678164.017,2711383.996,2743824.752,2776104.486,2808611.361,2840630.984,2873093.76,2854373.324,2835063.143,2814989.468,2794180.786,2772674.205,2750441.026,2759267.154,2790028.509,2820706.927,2853332.28,2885231.28,2916451.143,2946872.193,,58869119.7
Nigeria,105501296.7,107623888.9,109814892,112070067.6,114399364.4,116810091.3,119304203.7,121880244.7,124536779,127271390.6,130080363.2,132965123.9,135923305.4,138947423.3,142027710.1,145156565.4,148331482.4,151551631.6,154815491.6,158122060.4,161470608.9,,2758603985
Niue,33.27202463,32.23992892,31.40025466,30.57807647,29.9658158,32.01537536,34.07303353,36.09072319,38.18980296,40.32220742,42.71186171,46.69499549,53.57216877,60.78090863,68.01722412,75.34131883,82.5749003,89.80260272,96.84393709,104.2402357,104.4985802,,1163.225977
North America and Europe,103075967.1,102348265,101367895.5,100328067.1,97420909.44,72551223.54,70406920.39,68215596.32,65976823.79,63888412.96,61512056.53,59170087.41,56889629.93,54719811.29,53781801.95,53021007.68,52256714.65,51489334.98,50706387.57,49960294.1,49408023.66,,1438495231
